Tracking ID,Event Type,Timestamp
2657,Entry,0.06673333333333334
2659,Entry,0.06673333333333334
2660,Entry,0.06673333333333334
2661,Entry,0.06673333333333334
2662,Entry,0.06673333333333334
2663,Entry,0.06673333333333334
2668,Entry,0.13346666666666668
2668,Exit,0.16683333333333333
2662,Exit,0.20020000000000002
2662,Entry,0.23356666666666667
2662,Exit,0.26693333333333336
2675,Entry,0.3003
2662,Entry,0.3003
2680,Entry,0.40040000000000003
2680,Exit,0.5005000000000001
2660,Exit,0.5005000000000001
2662,Exit,0.5005000000000001
2662,Entry,0.5672333333333334
2662,Exit,0.6339666666666667
2675,Exit,0.6673333333333333
2691,Entry,0.7007
2694,Entry,0.7340666666666666
2675,Entry,0.8675333333333334
2661,Exit,0.9009
2703,Entry,1.0010000000000001
2703,Exit,1.1011
2657,Exit,1.2012
2675,Exit,1.2012
2675,Entry,1.2345666666666666
2659,Exit,1.7350666666666668
2716,Entry,1.7684333333333333
2719,Entry,2.0020000000000002
2675,Exit,2.3356666666666666
2675,Entry,2.435766666666667
2719,Exit,2.736066666666667
2740,Entry,3.1031
2740,Exit,3.2032000000000003
2750,Entry,3.5368666666666666
2675,Exit,3.7370666666666668
2740,Entry,4.070733333333333
2740,Exit,4.1041
2740,Entry,4.137466666666667
2751,Entry,4.2042
2740,Exit,4.2042
2740,Entry,4.571233333333334
2740,Exit,4.637966666666666
2716,Exit,5.271933333333333
2716,Entry,5.338666666666667
2694,Exit,5.638966666666667
2767,Entry,6.6066
2691,Exit,6.639966666666667
2751,Exit,6.673333333333334
2691,Entry,6.740066666666666
2767,Exit,6.740066666666666
2774,Entry,7.240566666666667
2767,Entry,7.307300000000001
2767,Exit,7.3406666666666665
2785,Entry,8.041366666666667
2786,Entry,8.1081
2786,Exit,8.241566666666667
2786,Entry,8.274933333333333
2786,Exit,8.341666666666667
2785,Exit,9.075733333333334
2691,Exit,10.043366666666667
2800,Entry,10.477133333333333
2831,Entry,11.611600000000001
2831,Exit,11.7117
2774,Exit,12.012
2851,Entry,12.645966666666666
2853,Entry,12.779433333333333
2716,Exit,12.779433333333333
2750,Exit,13.3133
2663,Exit,13.546866666666666
2871,Entry,13.8138
2851,Exit,13.8138
2871,Exit,13.9139
2871,Entry,14.2142
2882,Entry,14.5145
2889,Entry,14.7147
2890,Entry,15.582233333333333
2890,Exit,15.882533333333333
2890,Entry,16.082733333333334
2846,Entry,16.082733333333334
2890,Exit,16.349666666666668
2871,Exit,16.383033333333334
2890,Entry,16.449766666666665
2900,Entry,16.483133333333335
2890,Exit,16.549866666666667
2900,Exit,16.583233333333332
2891,Entry,17.217200000000002
2891,Exit,17.384033333333335
2891,Entry,17.450766666666667
2800,Exit,17.450766666666667
2889,Exit,17.450766666666667
2908,Entry,17.6176
2908,Exit,17.684333333333335
2882,Exit,17.784433333333332
2800,Entry,17.884533333333334
2853,Exit,17.9179
2800,Exit,17.951266666666665
2915,Entry,18.251566666666665
2908,Entry,18.418400000000002
2908,Exit,18.685333333333332
2908,Entry,18.785433333333334
2934,Entry,19.1191
2935,Entry,19.152466666666665
2935,Exit,19.252566666666667
2935,Entry,19.319300000000002
2935,Exit,19.352666666666668
2937,Entry,19.386033333333334
